date,platform,monthlyReturn,ytdReturn
2021-01-22,hl,0,0
2021-02-28,hl,1.5,1.5
2021-03-31,hl,1.4,2.9
2021-04-30,hl,1.3,4.2
2021-05-31,hl,1.2,5.4
2021-06-30,hl,1.1,6.5
2021-07-31,hl,1.0,7.5
2021-08-31,hl,1.0,8.5
2021-09-30,hl,1.0,9.5
2021-10-31,hl,1.0,10.5
2021-11-30,hl,1.0,11.5
2021-12-31,hl,1.0,12.5
2022-01-22,hl,0.16,19.56
2022-02-28,hl,0.15,0.15
2022-03-31,hl,0.15,0.30
2022-04-30,hl,0.15,0.45
2022-05-31,hl,0.15,0.60
2022-06-30,hl,0.15,0.75
2022-07-31,hl,0.15,0.90
2022-08-31,hl,0.15,1.05
2022-09-30,hl,0.15,1.20
2022-10-31,hl,0.15,1.35
2022-11-30,hl,0.15,1.50
2022-12-31,hl,0.15,1.65
2023-01-22,hl,0.19,1.99
2023-02-28,hl,0.18,0.18
2023-03-31,hl,0.18,0.36
2023-04-30,hl,0.18,0.54
2023-05-31,hl,0.18,0.72
2023-06-30,hl,0.18,0.90
2023-07-31,hl,0.18,1.08
2023-08-31,hl,0.18,1.26
2023-09-30,hl,0.18,1.44
2023-10-31,hl,0.18,1.62
2023-11-30,hl,0.18,1.80
2023-12-31,hl,0.18,1.98
2024-01-22,hl,0.98,2.23
2024-02-29,hl,0.95,0.95
2024-03-31,hl,0.95,1.90
2024-04-30,hl,0.95,2.85
2024-05-31,hl,0.95,3.80
2024-06-30,hl,0.95,4.75
2024-07-31,hl,0.95,5.70
2024-08-31,hl,0.95,6.65
2024-09-30,hl,0.95,7.60
2024-10-31,hl,0.95,8.55
2024-11-30,hl,0.95,9.50
2024-12-31,hl,0.95,10.45
2025-01-22,hl,1.46,12.27
2025-02-28,hl,1.40,1.40
2025-03-31,hl,1.40,2.80
2025-04-30,hl,1.40,4.20
2025-05-31,hl,1.40,5.60
2025-06-30,hl,1.40,7.00
2025-07-31,hl,1.40,8.40
2025-08-31,hl,1.40,9.80
2025-09-30,hl,1.40,11.20
2025-10-31,hl,1.40,12.60
2025-11-30,hl,1.40,14.00
2025-12-31,hl,1.40,15.40
2026-01-22,hl,1.40,18.92
