date,platform,monthlyReturn,ytdReturn,yearlyReturn,totalReturn
2022-04-30,etoro,-1.09,0,0,0
2022-05-31,etoro,2.54,0,0,0
2022-06-30,etoro,-6.54,0,0,0
2023-07-31,etoro,-2.70,0,0,0
2023-08-31,etoro,-0.71,0,0,0
2023-09-30,etoro,-9.69,0,0,0
2023-10-31,etoro,-0.75,0,0,0
2023-11-30,etoro,1.56,0,0,0
2023-12-31,etoro,0.71,0,0,0
2024-01-31,etoro,1.02,1.02,0,0
2024-02-29,etoro,1.15,2.17,0,0
2024-03-31,etoro,1.56,3.73,0,0
2024-04-30,etoro,-1.11,2.62,0,0
2024-05-31,etoro,4.50,7.12,0,0
2024-06-30,etoro,-0.26,6.86,0,0
2024-07-31,etoro,-0.34,6.52,0,0
2024-08-31,etoro,0.30,6.82,0,0
2024-09-30,etoro,2.35,9.17,0,0
2024-10-31,etoro,-2.05,7.12,0,0
2024-11-30,etoro,4.79,11.91,0,0
2024-12-31,etoro,-2.20,9.86,0,0
2025-01-31,etoro,4.77,4.77,0,0
2025-02-28,etoro,-2.11,2.66,0,0
2025-03-31,etoro,-6.44,-3.78,0,0
2025-04-30,etoro,2.79,-0.99,0,0
2025-05-31,etoro,4.71,3.72,0,0
2025-06-30,etoro,2.72,6.44,0,0
2025-07-31,etoro,2.24,8.68,0,0
2025-08-31,etoro,-2.43,6.25,0,0
2025-09-30,etoro,7.66,13.91,0,0
2025-10-31,etoro,-3.74,10.17,0,0
2025-11-30,etoro,-1.97,8.20,0,0
2025-12-31,etoro,1.57,9.19,0,0
2026-01-31,etoro,1.54,1.54,0,0
